at_request,ts_iso,elapsed_s,metric,value
500,2026-08-27T15:17:43.880+00:00,2127.239,llamacpp:prompt_tokens_total,513016.0
500,2026-08-27T15:17:43.880+00:00,2127.239,llamacpp:requests_deferred,0.0
500,2026-08-27T15:17:43.880+00:00,2127.239,llamacpp:requests_processing,0.0
500,2026-08-27T15:17:43.880+00:00,2127.239,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""0""}",7210.0
500,2026-08-27T15:17:43.880+00:00,2127.239,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""1""}",5758.0
500,2026-08-27T15:17:43.880+00:00,2127.239,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""2""}",4971.0
500,2026-08-27T15:17:43.880+00:00,2127.239,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""3""}",4232.0
500,2026-08-27T15:17:43.880+00:00,2127.239,llamacpp:spec_decode_num_accepted_tokens_total,22171.0
500,2026-08-27T15:17:43.880+00:00,2127.239,llamacpp:spec_decode_num_draft_tokens_total,32076.0
500,2026-08-27T15:17:43.880+00:00,2127.239,llamacpp:spec_decode_num_drafts_total,8019.0
500,2026-08-27T15:17:43.880+00:00,2127.239,llamacpp:tokens_predicted_seconds_total,1969.54
500,2026-08-27T15:17:43.880+00:00,2127.239,llamacpp:tokens_predicted_total,30274.0
550,2026-08-27T15:21:37.207+00:00,2360.565,llamacpp:n_busy_slots_per_decode,1.0
550,2026-08-27T15:21:37.207+00:00,2360.565,llamacpp:n_decode_total,9010.0
550,2026-08-27T15:21:37.207+00:00,2360.565,llamacpp:n_tokens_max,29361.0
550,2026-08-27T15:21:37.207+00:00,2360.565,llamacpp:predicted_tokens_seconds,9.02314
550,2026-08-27T15:21:37.207+00:00,2360.565,llamacpp:prompt_seconds_total,2085.6
550,2026-08-27T15:21:37.207+00:00,2360.565,llamacpp:prompt_tokens_cached_total,1219860.0
550,2026-08-27T15:21:37.207+00:00,2360.565,llamacpp:prompt_tokens_seconds,278.396
550,2026-08-27T15:21:37.207+00:00,2360.565,llamacpp:prompt_tokens_total,525248.0
550,2026-08-27T15:21:37.207+00:00,2360.565,llamacpp:requests_deferred,0.0
550,2026-08-27T15:21:37.207+00:00,2360.565,llamacpp:requests_processing,0.0
550,2026-08-27T15:21:37.207+00:00,2360.565,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""0""}",7260.0
550,2026-08-27T15:21:37.207+00:00,2360.565,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""1""}",5758.0
550,2026-08-27T15:21:37.207+00:00,2360.565,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""2""}",4971.0
550,2026-08-27T15:21:37.207+00:00,2360.565,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""3""}",4232.0
550,2026-08-27T15:21:37.207+00:00,2360.565,llamacpp:spec_decode_num_accepted_tokens_total,22221.0
550,2026-08-27T15:21:37.207+00:00,2360.565,llamacpp:spec_decode_num_draft_tokens_total,32276.0
550,2026-08-27T15:21:37.207+00:00,2360.565,llamacpp:spec_decode_num_drafts_total,8069.0
550,2026-08-27T15:21:37.207+00:00,2360.565,llamacpp:tokens_predicted_seconds_total,1975.08
550,2026-08-27T15:21:37.207+00:00,2360.565,llamacpp:tokens_predicted_total,30374.0
600,2026-08-27T15:25:18.410+00:00,2581.768,llamacpp:n_busy_slots_per_decode,1.0
600,2026-08-27T15:25:18.410+00:00,2581.768,llamacpp:n_decode_total,9110.0
600,2026-08-27T15:25:18.410+00:00,2581.768,llamacpp:n_tokens_max,29361.0
600,2026-08-27T15:25:18.410+00:00,2581.768,llamacpp:predicted_tokens_seconds,8.83901
600,2026-08-27T15:25:18.410+00:00,2581.768,llamacpp:prompt_seconds_total,2130.94
600,2026-08-27T15:25:18.410+00:00,2581.768,llamacpp:prompt_tokens_cached_total,1219860.0
600,2026-08-27T15:25:18.410+00:00,2581.768,llamacpp:prompt_tokens_seconds,270.877
600,2026-08-27T15:25:18.410+00:00,2581.768,llamacpp:prompt_tokens_total,537530.0
600,2026-08-27T15:25:18.410+00:00,2581.768,llamacpp:requests_deferred,0.0
600,2026-08-27T15:25:18.410+00:00,2581.768,llamacpp:requests_processing,0.0
600,2026-08-27T15:25:18.410+00:00,2581.768,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""0""}",7310.0
600,2026-08-27T15:25:18.410+00:00,2581.768,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""1""}",5758.0
600,2026-08-27T15:25:18.410+00:00,2581.768,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""2""}",4971.0
600,2026-08-27T15:25:18.410+00:00,2581.768,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""3""}",4232.0
600,2026-08-27T15:25:18.410+00:00,2581.768,llamacpp:spec_decode_num_accepted_tokens_total,22271.0
600,2026-08-27T15:25:18.410+00:00,2581.768,llamacpp:spec_decode_num_draft_tokens_total,32476.0
600,2026-08-27T15:25:18.410+00:00,2581.768,llamacpp:spec_decode_num_drafts_total,8119.0
600,2026-08-27T15:25:18.410+00:00,2581.768,llamacpp:tokens_predicted_seconds_total,1980.73
600,2026-08-27T15:25:18.410+00:00,2581.768,llamacpp:tokens_predicted_total,30474.0
650,2026-08-27T15:29:14.165+00:00,2817.523,llamacpp:n_busy_slots_per_decode,1.0
650,2026-08-27T15:29:14.165+00:00,2817.523,llamacpp:n_decode_total,9210.0
650,2026-08-27T15:29:14.165+00:00,2817.523,llamacpp:n_tokens_max,29361.0
650,2026-08-27T15:29:14.165+00:00,2817.523,llamacpp:predicted_tokens_seconds,9.06531
650,2026-08-27T15:29:14.165+00:00,2817.523,llamacpp:prompt_seconds_total,2174.95
650,2026-08-27T15:29:14.165+00:00,2817.523,llamacpp:prompt_tokens_cached_total,1219860.0
650,2026-08-27T15:29:14.165+00:00,2817.523,llamacpp:prompt_tokens_seconds,278.439
650,2026-08-27T15:29:14.165+00:00,2817.523,llamacpp:prompt_tokens_total,549784.0
650,2026-08-27T15:29:14.165+00:00,2817.523,llamacpp:requests_deferred,0.0
650,2026-08-27T15:29:14.165+00:00,2817.523,llamacpp:requests_processing,0.0
650,2026-08-27T15:29:14.165+00:00,2817.523,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""0""}",7360.0
650,2026-08-27T15:29:14.165+00:00,2817.523,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""1""}",5758.0
650,2026-08-27T15:29:14.165+00:00,2817.523,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""2""}",4971.0
650,2026-08-27T15:29:14.165+00:00,2817.523,"llamacpp:spec_decode_num_accepted_tokens_per_pos_total{position=""3""}",4232.0
650,2026-08-27T15:29:14.165+00:00,2817.523,llamacpp:spec_decode_num_accepted_tokens_total,22321.0
650,2026-08-27T15:29:14.165+00:00,2817.523,llamacpp:spec_decode_num_draft_tokens_total,32676.0
650,2026-08-27T15:29:14.165+00:00,2817.523,llamacpp:spec_decode_num_drafts_total,8169.0
650,2026-08-27T15:29:14.165+00:00,2817.523,llamacpp:tokens_predicted_seconds_total,1986.25
650,2026-08-27T15:29:14.165+00:00,2817.523,llamacpp:tokens_predicted_total,30574.0
700,2026-08-27T15:33:09.742+00:00,3053.101,llamacpp:n_busy_slots_per_decode,1.0
